No,Item,Brand,Quantity,Latest Cost,Average Cost,Sale Price
1,02872/20,HI-TEC,,679,679,
2,5,HI-TEC,172,79,79,170
3,108,HI-TEC,160,66.82,66.82,110
4,11749/10,HI-TEC,66,104,104,165
5,11949/10,BMX,1,111.49,112,148
6,11949/10,BSL,1,68,68,150
7,11949/10,CHINA,65,200,200,
8,11949/10,HI-TEC,438,176,171.95,190
9,1200,BSL,,48,48,
10,1200,HI-TEC,24,101.05,101.08,200
11,1201,BSL,2,101,101,
12,1201,HI-TEC,85,115.09,115.09,200
13,1202,BSL,2,100,100,
14,1202,HI-TEC,93,130.86,130.86,200
15,1203,HI-TEC,127,109,109,225
16,1203,KG,1,50,50,100
17,1204,HI-TEC,586,178.52,178.52,290
18,1205,B.MAX,480,367,367,
19,1205,HI-TEC,14,203.62,203.64,315
20,1205 F,HI-TEC,198,205,205.19,325
21,1205 K,BSL,82,159,159,275
22,1205 K,HI-TEC,57,137.52,137.51,325
23,1206,BSL,1,112,112,315
24,1206,HI-TEC,,263.33,263.33,370
25,1206 F,HI-TEC,108,271,271,370
26,1206 K,HI-TEC,92,271,271,370
27,1207,HI-TEC,11,369.26,369.27,460
28,1207 K,HI-TEC,4,274.86,275,460
29,1208,HI-TEC,31,388,388,525
30,1208 K,CHINA,-50,,,
31,1208 K,HI-TEC,23,385.67,385.7,525
32,1209,HI-TEC,7,368,368,700
33,1209 K,B.MAX,1,700,700,
34,1209 K,CHINA,19,600,600,520
35,1209 K,HI-TEC,4,446.75,446.75,625
36,1210,ATN,3,510,510,600
37,1210,HI-TEC,,409,409,680
38,1210 K,BSL,1,400,400,
39,1210 K,CHINA,,510,510,625
40,1210 K,HI-TEC,188,453.02,453.03,680
41,1210 K,MAX,,803,803,
42,1211,HI-TEC,3,570,570,900
43,1211 K,CHINA,11,616.36,616.36,700
44,1211 K,HI-TEC,27,585.83,585.85,850
45,1211 K,MAX,150,1100,1100,
46,1212,HI-TEC,1,593,593,"1,050"
47,1212 K,HI-TEC,18,724,724,"1,050"
48,1213,HI-TEC,,840,840,"1,200"
49,1213 K,CHINA,,1350,1350,
50,1213 K,HI-TEC,,548,548,"1,100"
51,1213 K,MAX,6,1630,1630,
52,1213 K F,HI-TEC,6,864,864,"1,150"
53,1215,HI-TEC,17,949.47,949.47,"1,400"
54,1215,SHALIMAR,1,768,768,
55,1215 K,BSL,1,850,850,
56,1215 K,HI-TEC,23,1004,1004,"1,375"
57,1216,JED,,900,900,
58,1216 K,BSL,1,1000,1000,
59,1216 K,HI-TEC,37,1219.21,1219.22,"2,000"
60,1217,ZWZ,,5200,5200,
61,1217 K,CHINA,,2400,2366.67,
62,1217 K,HI-TEC,,1494,1494,"2,350"
63,1218,HI-TEC,3,1868,1868,"2,850"
64,1218 K,HI-TEC,19,1829.32,1829.32,"2,850"
65,126,CHINA,,74,74,
66,126,HI-TEC,12,55,55,85
67,12649/10,BSL,1,94,94,
68,12649/10,HI-TEC,458,239,238.53,250
69,12649/10,MAX,,490,490,
70,1280/1220,HI-TEC,96,313,313,475
71,1302,HI-TEC,1,141,141,250
72,1303,HI-TEC,30,257,257,375
73,1304,HI-TEC,16,280,280,440
74,1305,HI-TEC,87,263.93,263.93,475
75,1307,HI-TEC,35,455.77,455.77,650
76,1307 K,HI-TEC,74,467,467,650
77,1308,HI-TEC,175,533.04,533.04,825
78,1308 K,HI-TEC,8,532.17,532.12,825
79,1309 K,HI-TEC,21,675.36,675.38,925
80,1310 K,HI-TEC,31,887,887,"1,125"
81,1311,HI-TEC,68,859,859,"1,450"
82,1311 K,CHINA,-16,,,
83,1311 K,HI-TEC,16,1021.1,1021.12,"1,450"
84,1312,HI-TEC,,1043,1043,"1,950"
85,1313,HI-TEC,4,1519.81,1519.75,"2,100"
86,1313 K,HI-TEC,8,1541,1541,"2,050"
87,1417,CHINA,10,550,550,
88,15123/245,BSL,44,166,166,
89,16001,HI-TEC,48,57,57,160
90,16002 2RS,HI-TEC,10,43,43,180
91,16003,CHINA,,75,75,
92,16011 2RS,HI-TEC,268,458,458,725
93,16013,WGD,,1200,,
94,162116,HI-TEC,1903,113,113,160
95,180706,CHINA,,5000,4750,
96,2/1 GREESE,SKF,,,6500,
97,212047/10,HI-TEC,276,1537,1537,
98,21304 CC,HS,24,1037.33,1037.33,
99,21305 CC,HS,18,1118,1118,
100,21306 CC,HS,,1118,1118,
101,21307 CC,HS,16,1286.79,1286.75,
102,21308 CC,HS,7,1437,1437,
103,21309 CC,HS,10,1493.5,1493.5,
104,21310 CC,HS,4,1969,1969,
105,21310 CC K,HS,9,1197,1197,
106,21311 CC,HS,8,2131.78,2131.75,
107,21312 CC,HS,10,2395,2395,
108,21313 CC,HS,,2821,2821,
109,21315 CC,HS,4,4045,4045,
110,21316 CC,HS,4,3802,3802,
111,21317,HS,4,5482,5482,
112,2200 2RS,CHINA,8,240,240,
113,2200 2RS,CMB,4,250,250,
114,2200 2RS,HI-TEC,27,175.55,175.52,250
115,2201,BSL,103,88,88,
116,2201,HI-TEC,115,133.32,133.32,250
117,2201 2RS,BSL,143,120,120,
118,2201 2RS,HI-TEC,97,120.99,120.99,250
119,220149,BSA,8,2550,2550,
120,220149/10,HI-TEC,90,2031.27,2031.27,
121,2202,BSL,7,95,95,
122,2202 2RS,BSL,26,92,92,
123,2202 2RS,HI-TEC,232,157.18,157.18,250
124,2203 2RS,BSL,92,144,144,
125,2203 2RS,HI-TEC,153,155.29,155.29,310
126,2204,BSL,74,104,104,
127,2204,JED,1,120,120,
128,2204 2RS,BSL,53,187,187,
129,2204 2RS,HI-TEC,11,143.09,143.09,425
130,2205 2RS,HI-TEC,34,303,303,475
131,2206,BSL,1,142,142,
132,2206,HI-TEC,845,326.7,326.7,475
133,2206 2RS,BSL,2,255,255,
134,2206 2RS,HI-TEC,258,340.36,340.37,535
135,2207 2RS,HI-TEC,,467,467,685
136,2208,HI-TEC,4,490,490,790
137,2208 2RS,HI-TEC,6,520.12,520.17,890
