Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Cost per item,bore diameter,outside diameter,width
2211,2211,"<p>Seal Type: None</p>
<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td colspan=""3"" style=""text-align: center;"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"" data-mce-style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"" data-mce-style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"" data-mce-style=""width: 12.8826%;"">55</td>
</tr>
<tr>
<td style=""width: 18.6833%;"" data-mce-style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"" data-mce-style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"" data-mce-style=""width: 12.8826%;"">100<br>
</td>
</tr>
<tr>
<td style=""width: 18.6833%;"" data-mce-style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"" data-mce-style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"" data-mce-style=""width: 12.8826%;"">25<br>
</td>
</tr>
<tr>
<td style=""width: 18.6833%;"" data-mce-style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"" data-mce-style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"" data-mce-style=""width: 12.8826%;"">67.71<br>
</td>
</tr>
<tr>
<td style=""width: 18.6833%;"" data-mce-style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"" data-mce-style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"" data-mce-style=""width: 12.8826%;"">87.8<br>
</td>
</tr>
<tr>
<td style=""width: 18.6833%;"" data-mce-style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"" data-mce-style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"" data-mce-style=""width: 12.8826%;"">1.5<br>
</td>
</tr>
</tbody>
</table>
<br>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",False,Title,Default Title,,810,0,0,,55,100,25
5,5,"<h2>Dimensions:</h2>
<table width=""100%"" style=""width: 100%;"" data-mce-style=""width: 100%;"">
<tbody>
<tr>
<td colspan=""3"" width=""324"" style=""width: 98.3637%; text-align: center;"" data-mce-style=""width: 98.3637%; text-align: center;"">Dimensions</td>
</tr>
<tr>
<td style=""width: 12.3636%;"" data-mce-style=""width: 12.3636%;"">d</td>
<td style=""width: 68.9091%;"" data-mce-style=""width: 68.9091%;"">Bore Diameter</td>
<td style=""width: 17.0909%;"" data-mce-style=""width: 17.0909%;"">15.875</td>
</tr>
<tr>
<td style=""width: 12.3636%;"" data-mce-style=""width: 12.3636%;"">D</td>
<td style=""width: 68.9091%;"" data-mce-style=""width: 68.9091%;"">Outside Diameter</td>
<td style=""width: 17.0909%;"" data-mce-style=""width: 17.0909%;"">35.719</td>
</tr>
<tr>
<td style=""width: 12.3636%;"" data-mce-style=""width: 12.3636%;"">T</td>
<td style=""width: 68.9091%;"" data-mce-style=""width: 68.9091%;"">Width</td>
<td style=""width: 17.0909%;"" data-mce-style=""width: 17.0909%;"">15.875</td>
</tr>
<tr>
<td style=""width: 12.3636%;"" data-mce-style=""width: 12.3636%;"">D<sub>1</sub>(min)</td>
<td style=""width: 68.9091%;"" data-mce-style=""width: 68.9091%;"">Inner Diameter Housing Washer</td>
<td style=""width: 17.0909%;"" data-mce-style=""width: 17.0909%;"">16.272</td>
</tr>
<tr>
<td style=""width: 12.3636%;"" data-mce-style=""width: 12.3636%;"">d<sub>2</sub>(max)</td>
<td style=""width: 68.9091%;"" data-mce-style=""width: 68.9091%;"">Outside Diameter Shaft Washer</td>
<td style=""width: 17.0909%;"" data-mce-style=""width: 17.0909%;"">34.925</td>
</tr>
<tr>
<td style=""width: 12.3636%;"" data-mce-style=""width: 12.3636%;"">r(min)</td>
<td style=""width: 68.9091%;"" data-mce-style=""width: 68.9091%;"">Chamfer dimension Washer</td>
<td style=""width: 17.0909%;"" data-mce-style=""width: 17.0909%;"">0.8</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Thrust Ball Bearings,"Automotive, Ball Bearings, Generators and Water Turbines, Heavy-Duty Machinery, Hi Tec Bearings, High Quality Bearings, Industrial Machinery, Mining & Construction, Thrust Ball Bearing, Transportation",True,Title,Default Title,'2,86,955,170,79.0,15.875,35.719,15.875
108,108,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td width=""324"" colspan=""3"" style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td>d</td>
<td>Bore Diameter</td>
<td>8<br>
</td>
</tr>
<tr>
<td>D</td>
<td>Outside Diameter</td>
<td>22</td>
</tr>
<tr>
<td>T</td>
<td>Width</td>
<td>7</td>
</tr>
<tr>
<td>d<sub>1</sub>(min)</td>
<td>Shoulder Diameter Inner Ring</td>
<td>12.709</td>
</tr>
<tr>
<td>D<sub>2</sub>(max)</td>
<td>Shoulder Diameter Outer Ring</td>
<td>17.6</td>
</tr>
<tr>
<td>r(min)</td>
<td>Chamfer dimension</td>
<td>0.3</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Title,Default Title,'3,14,160,110,66.82,8,22,7
1200,1200,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td colspan=""3"" style=""text-align: center; width: 96.0854%;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 17.6157%;"">d</td>
<td style=""width: 62.6624%;"">Bore Diameter</td>
<td style=""width: 15.8074%;"">10</td>
</tr>
<tr>
<td style=""width: 17.6157%;"">D</td>
<td style=""width: 62.6624%;"">Outside Diameter</td>
<td style=""width: 15.8074%;"">30</td>
</tr>
<tr>
<td style=""width: 17.6157%;"">T</td>
<td style=""width: 62.6624%;"">Width</td>
<td style=""width: 15.8074%;"">9</td>
</tr>
<tr>
<td style=""width: 17.6157%;"">d<sub>1</sub>(min)</td>
<td style=""width: 62.6624%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 15.8074%;"">16.5</td>
</tr>
<tr>
<td style=""width: 17.6157%;"">D<sub>2</sub>(max)</td>
<td style=""width: 62.6624%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 15.8074%;"">23.5</td>
</tr>
<tr>
<td style=""width: 17.6157%;"">r(min)</td>
<td style=""width: 62.6624%;"">Chamfer dimension</td>
<td style=""width: 15.8074%;"">0.6</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Title,Default Title,'9,34,29,200,101.05,10,30,9
1201,1201,"<p>Seal Type: None</p>
<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td style=""text-align: center;"" colspan=""3"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"">12</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"">32</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"">7</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"">18.2<br>
</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"">25.7</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"">0.6</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",False,Title,Default Title,'11,40,0,0,,12,32,7
1202,1202,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td style=""text-align: center;"" colspan=""3"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"">15</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"">35</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"">11</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"">21.15</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"">28.9</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"">0.6</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Title,Default Title,'13,49,101,200,130.86,15,35,11
1203,1203,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td style=""text-align: center;"" colspan=""3"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"">17</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"">40</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"">12</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"">24</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"">32.9</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"">0.6</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Title,Default Title,'14,73,129,225,109.0,17,40,12
1204,1204,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td style=""text-align: center;"" colspan=""3"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"">20</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"">47</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"">14</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"">28.88</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"">40</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"">1<br>
</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Title,Default Title,'16,120,680,290,178.52,20,47,14
1205,1205,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td colspan=""3"" style=""text-align: center;"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"">25</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"">52</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"">15</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"">33.3</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"">44.6</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"">1<br>
</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Bore,1205,'18,140,74,315,203.62,25,52,15
1206,1206,"<p>Product Category: Self-Aligning Ball Bearings</p>
<table width=""100%"">
<tbody>
<tr>
<td style=""text-align: center;"" colspan=""3"" data-mce-style=""text-align: center;"">Dimensions(mm)</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d</td>
<td style=""width: 64.8754%;"">Bore Diameter</td>
<td style=""width: 12.8826%;"">30</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D</td>
<td style=""width: 64.8754%;"">Outside Diameter</td>
<td style=""width: 12.8826%;"">62</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">T</td>
<td style=""width: 64.8754%;"">Width</td>
<td style=""width: 12.8826%;"">16</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">d<sub>1</sub>(min)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Inner Ring</td>
<td style=""width: 12.8826%;"">40.3</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">D<sub>2</sub>(max)</td>
<td style=""width: 64.8754%;"">Shoulder Diameter Outer Ring</td>
<td style=""width: 12.8826%;"">51.9</td>
</tr>
<tr>
<td style=""width: 18.6833%;"">r(min)</td>
<td style=""width: 64.8754%;"">Chamfer dimension</td>
<td style=""width: 12.8826%;"">1<br>
</td>
</tr>
</tbody>
</table>",Hi Tec Bearings,Vehicles & Parts > Vehicle Parts & Accessories,Self-Aligning Ball Bearings,"Ball Bearings, Hi Tec Bearings, High Quality Bearings, Self-Aligning Ball Bearings",True,Bore,1206,'23,220,3,370,263.33,30,62,16
